Rank,Country/Region,IQ,Ø Income,Education expenditureper inhabitant,Ø Daily maximumtemperature
1,Hong Kong *,106,"35,304 $","1,283 $",26.2 °C
2,Japan,106,"40,964 $","1,340 $",19.2 °C
3,Singapore,106,"41,100 $","1,428 $",31.5 °C
4,Taiwan *,106,,,26.9 °C
5,China,104,"4,654 $",183 $,19.1 °C
6,South Korea,103,"22,805 $","1,024 $",18.2 °C
7,Netherlands,101,"45,337 $","2,386 $",14.4 °C
8,Finland,101,"42,706 $","2,725 $",8.2 °C
9,Canada,100,"40,207 $","2,052 $",7.4 °C
10,North Korea,100,,,15.3 °C
11,Luxembourg,100,"71,296 $","3,665 $",14.7 °C
12,Macao *,100,"44,072 $","1,448 $",26.0 °C
13,Germany,100,"39,911 $","1,883 $",13.8 °C
14,Switzerland,100,"70,399 $","3,550 $",15.2 °C
15,Estonia,100,"13,770 $",749 $,10.1 °C
16,Australia,99,"42,948 $","2,343 $",24.3 °C
17,United Kingdom,99,"40,698 $","2,076 $",12.9 °C
18,Greenland *,99,"24,486 $","4,518 $",0.4 °C
19,Iceland,99,"47,106 $","3,812 $",8.1 °C
20,Austria,99,"42,635 $","2,341 $",13.2 °C
21,Hungary,99,"11,391 $",585 $,16.6 °C
22,New Zealand,99,"30,141 $","2,083 $",17.4 °C
23,Belgium,98,"40,526 $","2,507 $",14.8 °C
24,Norway,98,"75,130 $","5,436 $",9.0 °C
25,Sweden,98,"49,535 $","3,419 $",9.9 °C
26,Denmark,98,"53,149 $","4,133 $",12.5 °C
27,Cambodia,97,776 $,16 $,33.1 °C
28,France,97,"37,610 $","2,042 $",16.8 °C
29,United States,97,"49,883 $","2,608 $",18.8 °C
30,Poland,96,"10,505 $",545 $,13.4 °C
31,Czechia,96,"15,552 $",712 $,12.8 °C
32,Russia,96,"8,241 $",338 $,9.5 °C
33,Spain,95,"26,463 $","1,176 $",21.1 °C
34,Ireland,95,"43,903 $","2,500 $",13.2 °C
35,Italy,95,"32,104 $","1,380 $",17.8 °C
36,Croatia,95,"11,642 $",505 $,18.0 °C
37,Lithuania,95,"11,330 $",550 $,11.6 °C
38,Israel,93,"29,009 $","1,811 $",25.4 °C
39,Mongolia,93,"2,241 $",153 $,8.0 °C
